City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kapaa,US,80.58,light rain,22.0752,-159.319,Kapaʻa
2,Hilo,US,78.28,moderate rain,19.7297,-155.09,Hilo
3,Butaritari,KI,81.41,few clouds,3.0707,172.7902,Ukiangang
11,Novo Aripuana,BR,78.53,overcast clouds,-5.1206,-60.3797,Novo Aripuanã
12,Carutapera,BR,83.71,few clouds,-1.195,-46.02,Carutapera
15,Atuona,PF,78.06,light rain,-9.8,-139.0333,Atuona
19,Key West,US,87.8,few clouds,24.5557,-81.7826,Key West
21,Samarai,PG,82.13,overcast clouds,-10.6167,150.6667,Magesina
22,Arrecife,ES,75.18,clear sky,28.963,-13.5477,Arrecife
26,Delvada,IN,77.18,scattered clouds,20.7667,71.0333,Una
29,Sola,VU,81.59,broken clouds,-13.8833,167.55,Sola
30,Prado,BR,77.4,broken clouds,-17.3411,-39.2208,Prado
32,Tautira,PF,86.02,light rain,-17.7333,-149.15,Tautira
33,Cozumel,MX,87.87,scattered clouds,20.5083,-86.9458,San Miguel de Cozumel
38,Itarema,BR,81.88,clear sky,-2.9248,-39.9167,Itarema
39,Labuhan,ID,81.27,broken clouds,-6.8844,112.2051,Musholla Babut Taubat
46,Rosetown,CA,76.98,clear sky,51.5501,-108.0014,Rosetown
47,Rikitea,PF,75.63,clear sky,-23.1203,-134.9692,Rikitea
48,Koungou,YT,76.71,clear sky,-12.7336,45.2042,Mamoudzou
52,Pangkalanbuun,ID,75.81,overcast clouds,-2.6833,111.6167,Pangkalan Bun
64,Tevaitoa,PF,79.95,light rain,-16.7833,-151.5,Uturoa
66,Matara,LK,79.12,broken clouds,5.9485,80.5353,Matara
67,Touros,BR,81.5,clear sky,-5.1989,-35.4608,Touros
71,Umm Lajj,SA,84.36,clear sky,25.0213,37.2685,Umluj
76,San Patricio,US,77.09,overcast clouds,28.017,-97.5169,Sinton
77,Yaan,NG,75.47,scattered clouds,7.3833,8.5667,Iorjan
79,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Nukuhetulu
85,Georgetown,MY,78.89,few clouds,5.4112,100.3354,George Town
88,Itaituba,BR,89.76,thunderstorm,-4.2761,-55.9836,Itaituba
90,Hithadhoo,MV,81.7,broken clouds,-0.6,73.0833,Addu City
103,Puerto Ayora,EC,78.76,light rain,-0.7393,-90.3518,Puerto Ayora
110,Indiaroba,BR,79.07,broken clouds,-11.5192,-37.5117,Indiaroba
119,Padang,ID,77.83,overcast clouds,-0.9492,100.3543,Padang
122,Pinotepa Nacional,MX,89.55,overcast clouds,16.3167,-98.0167,Pinotepa Nacional
124,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Teluk Ambon
126,Sur,OM,80.26,clear sky,22.5667,59.5289,Sur
135,Lompoc,US,75.69,clear sky,34.6391,-120.4579,Lompoc
140,Nacala,MZ,76.64,clear sky,-14.5428,40.6728,Nacala
141,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Wilson Hill
151,Miranda,CO,78.93,overcast clouds,3.2499,-76.2281,Miranda
152,Sechura,PE,76.48,broken clouds,-5.5569,-80.8222,Sechura District
153,Bengkulu,ID,75.29,overcast clouds,-3.8004,102.2655,Bengkulu
157,Garango,BF,89.56,overcast clouds,11.8,-0.5506,Garango
158,Puerto Lempira,HN,82.54,thunderstorm,15.2667,-83.7667,Lempira
161,Mormugao,IN,80.44,broken clouds,15.4,73.8,Vasco da Gama
162,Maumere,ID,80.01,overcast clouds,-8.6199,122.2111,Maumere
163,Port-Gentil,GA,78.35,broken clouds,-0.7193,8.7815,Port-Gentil
164,Santa Rosa,PH,81.1,light rain,14.3122,121.1114,Santa Rosa
169,Cam Ranh,VN,76.96,scattered clouds,11.9214,109.1591,Cam Ranh
176,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Avarua District
178,San Fernando,PH,81.14,scattered clouds,15.0286,120.6898,San Fernando
179,Jaciara,BR,89.69,moderate rain,-15.9653,-54.9683,Jaciara
181,La Peca,PE,85.48,light rain,-5.6111,-78.435,La Peca
184,Rapid Valley,US,78.6,clear sky,44.0625,-103.1463,Rapid City
186,Bairiki,KI,84.2,few clouds,1.3292,172.9752,Bairiki
187,Faanui,PF,80.11,light rain,-16.4833,-151.75,Vaitape
191,Jacareacanga,BR,76.78,overcast clouds,-6.2222,-57.7528,Jacareacanga
193,Areia Branca,BR,88.0,overcast clouds,-4.9561,-37.1369,Centro
194,Iquitos,PE,89.64,scattered clouds,-3.7481,-73.2472,Iquitos
209,Barreiras,BR,87.01,overcast clouds,-12.1528,-44.99,Barreiras
216,Tchaourou,BJ,76.73,light rain,8.8865,2.5975,Tchaourou
217,Goure,NE,86.02,clear sky,13.9835,10.2704,Gouré
223,Oussouye,SN,84.38,broken clouds,12.485,-16.5469,Oussouye
227,Isangel,VU,77.41,light rain,-19.55,169.2667,Isangel
230,Mecca,SA,86.83,clear sky,21.4267,39.8261,Mecca
236,Dingle,PH,75.97,few clouds,10.9995,122.6711,Pototan
241,Noumea,NC,78.01,clear sky,-22.2763,166.4572,Nouméa
246,Kloulklubed,PW,84.16,overcast clouds,7.0419,134.2556,Klouklubed
250,Lake City,US,78.55,clear sky,30.1897,-82.6393,Lake City
254,Cayenne,GF,86.04,broken clouds,4.9333,-52.3333,Cayenne
256,Saint-Georges,GD,84.58,few clouds,12.0564,-61.7485,Saint George's
264,Sao Filipe,CV,78.73,clear sky,14.8961,-24.4956,Sao Filipe
267,Balikpapan,ID,75.4,moderate rain,-1.2675,116.8289,Balikpapan
270,Carlagan,PH,79.3,moderate rain,14.975,122.0456,Burdeos
274,Lorengau,PG,81.9,overcast clouds,-2.0226,147.2712,Lorengau
276,Kavieng,PG,82.44,few clouds,-2.5744,150.7967,Kavieng
278,Linhares,BR,77.47,overcast clouds,-19.3911,-40.0722,Linhares
286,Tessalit,ML,87.46,clear sky,20.1986,1.0114,Achemelmel
287,Araouane,ML,88.3,clear sky,18.9048,-3.5265,Araouane
308,Salalah,OM,78.89,scattered clouds,17.0151,54.0924,Salalah
310,Hobyo,SO,78.37,overcast clouds,5.3505,48.5268,Hobyo
312,Tacoronte,ES,75.52,clear sky,28.4769,-16.4102,Tacoronte
314,Aden,YE,87.67,overcast clouds,12.7794,45.0367,Aden
318,Rabaul,PG,79.75,overcast clouds,-4.1967,152.1721,Rabaul
319,Nuevo Casas Grandes,MX,80.74,clear sky,30.4167,-107.9167,Nuevo Casas Grandes Municipality
326,Caborca,MX,84.49,broken clouds,30.5838,-111.101,Santa Ana
329,Luganville,VU,80.53,overcast clouds,-15.5333,167.1667,Luganville
332,Buraydah,SA,84.65,clear sky,26.326,43.975,Buraydah
335,Lufilufi,WS,83.79,scattered clouds,-13.8745,-171.5986,Lufi-lufi
338,El Reten,CO,85.91,overcast clouds,10.6114,-74.2682,El Retén
348,Asyut,EG,80.98,overcast clouds,27.181,31.1837,Asyut
350,Bosaso,SO,86.09,clear sky,11.2842,49.1816,Bosaso
355,Puyo,EC,76.24,light rain,-1.4667,-77.9833,Puyo
361,Tual,ID,83.34,broken clouds,-5.6667,132.75,Tual
364,Kalmunai,LK,80.67,overcast clouds,7.4167,81.8167,Kalmunai
366,Cabedelo,BR,81.27,broken clouds,-6.9811,-34.8339,Cabedelo
367,Tutoia,BR,87.78,scattered clouds,-2.7619,-42.2744,Tutóia
368,Alofi,NU,82.29,broken clouds,-19.0595,-169.9187,Alofi
370,Katherine,AU,79.12,overcast clouds,-14.4667,132.2667,Katherine
375,Mitu,CO,83.62,overcast clouds,1.1983,-70.1733,Queramiki
377,Wewak,PG,78.62,overcast clouds,-3.5534,143.6268,Wewak
382,Bhimunipatnam,IN,80.11,overcast clouds,17.8833,83.4333,Visakhapatnam
384,Nhulunbuy,AU,75.81,overcast clouds,-12.2333,136.7667,Nhulunbuy
385,Puerto Madero,MX,88.0,scattered clouds,14.7208,-92.4215,Puerto Madero
386,Palmerston,AU,82.38,scattered clouds,-12.486,130.9833,Darwin
389,Bandarbeyla,SO,77.38,broken clouds,9.4942,50.8122,Bandarbeyla
392,Merauke,ID,76.91,broken clouds,-8.4667,140.3333,Urum
393,The Valley,AI,89.46,scattered clouds,18.217,-63.0578,The Valley
396,Chimoio,MZ,78.66,broken clouds,-19.1164,33.4833,Chimoio
397,Santa Isabel Do Rio Negro,BR,82.99,overcast clouds,-0.4139,-65.0192,Santa Isabel do Rio Negro
399,Ridgecrest,US,80.46,clear sky,35.6225,-117.6709,Ridgecrest
402,Pangai,TO,78.91,light rain,-19.8,-174.35,Pangai
405,Neiafu,TO,81.28,scattered clouds,-18.65,-173.9833,Neiafu
407,Kutum,SD,80.26,clear sky,14.2,24.6667,Kutum
410,Guerrero Negro,MX,78.13,overcast clouds,27.9769,-114.0611,Guerrero Negro
416,Hanna,CA,76.51,overcast clouds,51.6334,-111.9018,Hanna
419,Santa Luzia,BR,76.1,overcast clouds,-19.7697,-43.8514,Santa Luzia
420,Bontang,ID,79.0,scattered clouds,0.1333,117.5,Bontang
424,Abeche,TD,86.25,few clouds,13.8292,20.8324,Abeche
428,Gamba,GA,76.64,overcast clouds,-2.65,10.0,Foundou
430,Belize,BZ,89.92,overcast clouds,17.25,-88.75,Belmopan
431,Poum,NC,75.56,overcast clouds,-20.2333,164.0167,Poum
433,Guiratinga,BR,89.22,scattered clouds,-16.3494,-53.7583,Guiratinga
435,Meulaboh,ID,75.96,moderate rain,4.1363,96.1285,Meulaboh
437,Parakou,BJ,77.63,light rain,9.3372,2.6303,Parakou
441,Ugoofaaru,MV,80.24,overcast clouds,5.6667,73.0,Ungoofaaru
444,Ixtapa,MX,88.83,clear sky,20.7,-105.2,Puerto Vallarta
446,Port Blair,IN,80.29,overcast clouds,11.6667,92.75,Port Blair
449,Nova Aurora,BR,76.91,overcast clouds,-22.8667,-52.5667,Nova Aurora
452,Limpapa,PH,77.34,overcast clouds,7.1197,121.9106,Zamboanga
453,Bubaque,GW,82.29,moderate rain,11.2833,-15.8333,Bubaque
454,Luanda,AO,75.2,scattered clouds,-8.8368,13.2343,Luanda
461,Ferkessedougou,CI,82.35,broken clouds,9.6,-5.2,Ferkessédougou
462,Denpasar,ID,78.46,few clouds,-8.65,115.2167,Denpasar
464,Carupano,VE,87.87,overcast clouds,10.6678,-63.2585,Carupano
468,Baillif,GP,79.65,scattered clouds,16.0202,-61.7463,Basse-Terre
471,Cordoba,AR,79.75,clear sky,-31.4135,-64.1811,Córdoba
473,Ca Mau,VN,75.25,overcast clouds,9.1769,105.15,Cà Mau
474,Arinos,BR,82.98,broken clouds,-15.9169,-46.1056,Arinos
475,Puerto Suarez,BO,88.36,few clouds,-18.95,-57.8,Puerto Suárez
477,Half Moon Bay,US,78.21,overcast clouds,37.4636,-122.4286,Half Moon Bay
480,Saint George,US,79.27,clear sky,37.1041,-113.5841,St. George
482,Muisne,EC,76.91,overcast clouds,0.6,-80.0333,Muisne
486,Macklin,CA,76.33,clear sky,52.3334,-109.9348,Macklin
490,Buchanan,LR,78.76,few clouds,5.8808,-10.0467,Buchanan
493,Lethem,GY,83.26,overcast clouds,3.3803,-59.7968,Bonfim
494,Cururupu,BR,83.53,scattered clouds,-1.8283,-44.8683,Cururupu
498,Puerto Narino,CO,84.15,broken clouds,-3.7703,-70.3831,Puerto Nariño
503,Kahului,US,84.22,few clouds,20.8947,-156.47,Kahului
505,Caravelas,BR,78.62,scattered clouds,-17.7125,-39.2481,Caravelas
507,Gizo,SB,82.53,overcast clouds,-8.103,156.8419,Gizo
508,Moroni,KM,76.3,clear sky,-11.7022,43.2551,Moroni
511,Paita,PE,75.76,broken clouds,-5.0892,-81.1144,Paita District
514,Keta,GH,81.07,overcast clouds,5.9179,0.9879,Keta
523,Nueva Concepcion,GT,88.16,scattered clouds,14.2,-91.3,Nueva Concepción
525,Adrar,MR,89.1,overcast clouds,20.5022,-10.0711,
526,Ternate,ID,80.98,overcast clouds,0.8,127.4,Ternate
533,Diego De Almagro,CL,76.53,clear sky,-26.3667,-70.05,Diego de Almagro
536,Sumter,US,85.24,clear sky,28.7086,-82.0831,Bushnell
539,Harper,LR,78.48,scattered clouds,4.375,-7.7169,Harper
549,Humaita,BR,82.45,overcast clouds,-7.5061,-63.0208,Humaitá District
550,Micheweni,TZ,77.16,broken clouds,-4.9667,39.8333,Maziwa Ngombe
552,Sorong,ID,79.83,overcast clouds,-0.8833,131.25,Sorong
554,Salaga,GH,79.27,light rain,8.5508,-0.5188,Salaga
555,Acapulco,MX,85.82,scattered clouds,16.8634,-99.8901,Acapulco
556,Makakilo City,US,82.72,broken clouds,21.3469,-158.0858,Kapolei
561,Wanning,CN,77.61,moderate rain,18.8003,110.3967,Wanning
562,Arlit,NE,89.76,overcast clouds,18.7369,7.3853,Arlit
563,Awbari,LY,79.12,clear sky,26.5921,12.7805,Awbari‎
564,Kununurra,AU,76.98,overcast clouds,-15.7667,128.7333,Kununurra
565,Kirakira,SB,80.37,scattered clouds,-10.4544,161.9205,Arohane
568,Kavaratti,IN,81.07,overcast clouds,10.5669,72.642,Kavaratti
569,Yazman,PK,80.58,clear sky,29.1212,71.7446,Yazman Mandi
570,Sierra Vista,US,79.84,scattered clouds,31.5545,-110.3037,Sierra Vista
572,Lar,IN,77.02,overcast clouds,26.2039,83.9717,Lar
576,Biak,ID,76.78,broken clouds,-0.9131,122.8766,CV. MEGA RENTAL Mobil Luwuk Banggai
579,Ranong,TH,75.6,overcast clouds,9.9658,98.6348,Bang Rin
584,Upata,VE,86.83,overcast clouds,8.0086,-62.3989,Upata
585,Cairns,AU,75.07,scattered clouds,-16.9167,145.7667,Cairns
589,Sao Miguel Do Araguaia,BR,88.79,overcast clouds,-13.275,-50.1628,São Miguel do Araguaia
598,Adiake,CI,81.99,clear sky,5.2863,-3.304,Adiake
599,Elat,IL,78.64,clear sky,29.5581,34.9482,Eilat
602,Yanam,IN,77.74,overcast clouds,16.7333,82.2167,Yanam
609,Manoel Urbano,BR,87.3,overcast clouds,-8.8389,-69.2597,Manoel Urbano
611,Dakar,SN,82.53,few clouds,14.6937,-17.4441,Dakar
613,Aswan,EG,85.3,clear sky,24.0934,32.907,Aswan
618,Parati,BR,76.1,overcast clouds,-23.2178,-44.7131,Paraty
620,Pemangkat,ID,79.12,overcast clouds,1.1667,108.9667,Pemangkat
621,Charagua,BO,78.37,overcast clouds,-19.8,-63.2167,Charagua
623,Ojinaga,MX,80.42,clear sky,29.5667,-104.4167,Ojinaga
626,Kailua,US,84.18,broken clouds,21.4022,-157.7394,Kaneohe
627,Mayahi,NE,85.37,overcast clouds,13.9553,7.6712,Mayahi
628,Papara,BR,85.73,few clouds,-3.9839,-38.7273,Papara
634,Maragogi,BR,78.48,overcast clouds,-9.0122,-35.2225,Maragogi
639,Riohacha,CO,84.92,overcast clouds,11.5444,-72.9072,Riohacha
640,Pala,TD,77.92,overcast clouds,9.3642,14.9046,Pala
642,Paciran,ID,81.68,broken clouds,-6.8767,112.3761,SMP Muhammadiyah 12
645,Kieta,PG,80.67,overcast clouds,-6.2167,155.6333,Kieta
652,Aripuana,BR,85.8,broken clouds,-9.1667,-60.6333,Aripuanã
655,Puerto Ayacucho,VE,86.54,overcast clouds,5.6639,-67.6236,Puerto Ayacucho
656,Dhidhdhoo,MV,81.86,overcast clouds,6.8833,73.1,Dhidhdhoo
657,Kaduqli,SD,81.75,broken clouds,11.0167,29.7167,Kadugli
659,Sakakah,SA,76.57,scattered clouds,29.9697,40.2064,Sakaka
661,Chegutu,ZW,77.72,scattered clouds,-18.1302,30.1407,Chegutu
662,Bilma,NE,86.61,broken clouds,18.6853,12.9164,Bilma
664,Pundaguitan,PH,82.56,broken clouds,6.3711,126.1689,Mati
667,Ayolas,PY,75.13,broken clouds,-27.4,-56.9,Ayolas
669,Douglas,US,76.98,clear sky,41.3,-96.167,Omaha
672,Manadhoo,MV,80.35,overcast clouds,5.7667,73.3833,Manadhoo
677,Do Gonbadan,IR,78.89,clear sky,30.3586,50.7981,Gachsaran
679,Laguna,US,79.47,clear sky,38.421,-121.4238,Sacramento
682,Hambantota,LK,79.9,broken clouds,6.1241,81.1185,Hambantota
689,Ilebo,CD,76.17,overcast clouds,-4.3167,20.5833,Ilebo
695,Omboue,GA,76.51,overcast clouds,-1.5746,9.2618,Omboue
699,Galveston,US,76.08,clear sky,29.3669,-94.9669,Texas City
702,Pacific Grove,US,75.58,clear sky,36.6177,-121.9166,Monterey
704,Buriti Dos Lopes,BR,87.55,broken clouds,-3.175,-41.8669,Buriti dos Lopes
706,Ishigaki,JP,75.76,overcast clouds,24.3448,124.1572,Ishigaki
714,Lake Charles,US,75.18,clear sky,30.2131,-93.2044,Lake Charles
716,Takoradi,GH,79.2,scattered clouds,4.8845,-1.7554,Takoradi
